,carType,year
358,ICE,2018
359,ICE,2018
360,ICE,2018
361,ICE,2018
362,ICE,2018
363,ICE,2018
364,ICE,2018
366,ICE,2018
367,ICE,2018
368,ICE,2018
369,ICE,2018
370,ICE,2018
371,ICE,2018
372,EV,2019
373,ICE,2019
374,ICE,2019
375,EV,2019
376,ICE,2019
377,ICE,2019
378,ICE,2019
379,ICE,2019
380,ICE,2019
381,ICE,2019
382,EV,2019
383,ICE,2019
384,ICE,2019
385,ICE,2019
386,ICE,2019
387,ICE,2020
388,ICE,2020
389,ICE,2020
390,ICE,2020
391,ICE,2020
392,ICE,2020
393,ICE,2020
394,ICE,2020
395,ICE,2020
396,ICE,2020
397,EV,2020
398,EV,2020
399,ICE,2020
400,ICE,2020
401,ICE,2020
402,ICE,2020
403,ICE,2020
404,ICE,2020
405,ICE,2020
406,ICE,2011
407,ICE,2011
408,ICE,2011
409,ICE,2011
410,ICE,2011
411,ICE,2011
412,ICE,2011
413,ICE,2011
414,ICE,2011
415,ICE,2011
416,ICE,2011
417,ICE,2011
418,ICE,2011
419,ICE,2011
420,ICE,2011
421,ICE,2011
422,ICE,2011
423,ICE,2011
424,ICE,2011
425,ICE,2012
426,ICE,2012
427,ICE,2012
428,ICE,2012
429,ICE,2012
430,ICE,2012
431,ICE,2012
432,ICE,2012
433,ICE,2012
434,ICE,2012
435,ICE,2012
436,ICE,2012
437,ICE,2012
438,ICE,2012
439,ICE,2012
440,ICE,2012
441,ICE,2012
442,ICE,2012
443,ICE,2012
444,ICE,2012
445,ICE,2013
446,ICE,2013
447,ICE,2013
448,ICE,2013
449,ICE,2013
450,ICE,2013
451,ICE,2013
452,ICE,2013
453,ICE,2013
454,ICE,2013
455,ICE,2013
456,ICE,2013
457,ICE,2013
458,ICE,2013
459,ICE,2013
460,ICE,2013
461,ICE,2013
462,ICE,2013
463,ICE,2013
464,ICE,2013
465,ICE,2015
466,ICE,2015
467,ICE,2015
468,ICE,2015
469,ICE,2015
470,ICE,2015
471,ICE,2015
472,ICE,2015
473,ICE,2015
474,ICE,2015
475,ICE,2015
476,ICE,2015
477,ICE,2015
478,ICE,2015
479,ICE,2015
480,ICE,2015
481,ICE,2015
483,ICE,2015
484,ICE,2015
485,ICE,2016
486,ICE,2016
487,ICE,2016
488,ICE,2016
489,ICE,2016
490,ICE,2016
491,ICE,2016
492,ICE,2016
493,ICE,2016
494,ICE,2016
495,ICE,2016
496,ICE,2016
497,ICE,2016
498,ICE,2016
499,ICE,2016
500,ICE,2016
501,ICE,2016
502,ICE,2016
503,ICE,2016
504,ICE,2016
505,ICE,2017
506,ICE,2017
507,ICE,2017
508,ICE,2017
509,ICE,2017
510,ICE,2017
511,ICE,2017
512,ICE,2017
513,ICE,2017
514,ICE,2017
515,ICE,2017
516,ICE,2017
517,ICE,2017
518,ICE,2017
519,ICE,2017
520,ICE,2017
521,ICE,2017
522,ICE,2017
523,ICE,2017
524,ICE,2017
525,ICE,2018
526,ICE,2018
527,ICE,2018
528,ICE,2018
529,ICE,2018
530,ICE,2018
531,ICE,2018
532,ICE,2018
533,ICE,2018
534,ICE,2018
535,ICE,2018
536,ICE,2018
537,ICE,2018
538,ICE,2018
539,ICE,2018
540,ICE,2018
541,ICE,2018
542,ICE,2018
543,ICE,2018
544,ICE,2018
545,ICE,2019
546,EV,2019
547,ICE,2019
548,ICE,2019
549,ICE,2019
550,ICE,2019
551,EV,2019
552,ICE,2019
553,ICE,2019
554,ICE,2019
555,ICE,2019
556,ICE,2019
557,ICE,2019
558,ICE,2019
559,ICE,2019
560,ICE,2019
561,ICE,2019
562,ICE,2019
563,ICE,2019
564,ICE,2019
565,ICE,2020
566,ICE,2020
567,ICE,2020
568,ICE,2020
569,ICE,2020
570,ICE,2020
571,ICE,2020
572,ICE,2020
573,EV,2020
574,ICE,2020
575,ICE,2020
576,ICE,2020
577,EV,2020
578,ICE,2020
579,EV,2020
580,ICE,2020
581,ICE,2020
582,ICE,2020
583,ICE,2020
584,ICE,2020
585,ICE,2021
586,ICE,2021
587,ICE,2021
588,EV,2021
589,EV,2021
590,ICE,2021
591,ICE,2021
592,EV,2021
593,EV,2021
594,EV,2021
595,ICE,2021
596,EV,2021
597,ICE,2021
598,EV,2021
599,EV,2021
600,ICE,2021
601,EV,2021
602,ICE,2021
603,ICE,2021
604,ICE,2021
605,ICE,2011
606,ICE,2011
607,ICE,2011
608,ICE,2011
609,ICE,2011
610,ICE,2011
611,ICE,2011
613,ICE,2011
614,ICE,2011
615,ICE,2011
616,ICE,2011
617,ICE,2011
618,ICE,2011
619,ICE,2011
620,ICE,2011
621,ICE,2011
622,ICE,2011
623,ICE,2011
624,ICE,2012
625,ICE,2012
626,ICE,2012
627,ICE,2012
628,ICE,2012
629,ICE,2012
630,ICE,2012
631,ICE,2012
632,ICE,2012
633,ICE,2012
634,ICE,2012
635,ICE,2012
636,ICE,2012
637,ICE,2012
638,ICE,2012
639,ICE,2012
640,ICE,2012
641,ICE,2012
642,ICE,2012
643,ICE,2012
644,ICE,2013
645,ICE,2013
646,ICE,2013
647,ICE,2013
648,ICE,2013
649,ICE,2013
650,ICE,2013
651,ICE,2013
652,ICE,2013
653,ICE,2013
654,ICE,2013
655,ICE,2013
656,ICE,2013
657,ICE,2013
658,ICE,2013
659,ICE,2013
660,ICE,2013
661,ICE,2013
662,ICE,2013
663,ICE,2013
664,ICE,2014
665,ICE,2014
666,ICE,2014
667,ICE,2014
668,ICE,2014
669,ICE,2014
670,ICE,2014
671,ICE,2014
672,ICE,2014
673,ICE,2014
674,ICE,2014
675,ICE,2014
676,ICE,2014
677,ICE,2014
678,ICE,2014
679,ICE,2014
680,ICE,2014
