,year,carType
357,2018,ICE
358,2018,ICE
359,2018,ICE
360,2018,ICE
361,2018,ICE
362,2018,ICE
363,2018,ICE
364,2018,ICE
366,2018,ICE
367,2018,ICE
368,2018,ICE
369,2018,ICE
370,2018,ICE
371,2018,ICE
372,2019,ICE
373,2019,ICE
374,2019,ICE
375,2019,ICE
376,2019,ICE
377,2019,ICE
378,2019,ICE
379,2019,ICE
380,2019,ICE
381,2019,ICE
382,2019,ICE
383,2019,ICE
384,2019,ICE
385,2019,ICE
386,2019,ICE
387,2020,ICE
388,2020,ICE
389,2020,ICE
390,2020,ICE
391,2020,ICE
392,2020,ICE
393,2020,ICE
394,2020,ICE
395,2020,ICE
396,2020,ICE
397,2020,ICE
398,2020,ICE
399,2020,ICE
400,2020,ICE
401,2020,ICE
402,2020,ICE
403,2020,ICE
404,2020,ICE
405,2020,ICE
406,2011,ICE
407,2011,ICE
408,2011,ICE
409,2011,ICE
410,2011,ICE
411,2011,ICE
412,2011,ICE
413,2011,ICE
414,2011,ICE
415,2011,ICE
416,2011,ICE
417,2011,ICE
418,2011,ICE
419,2011,ICE
420,2011,ICE
421,2011,ICE
422,2011,ICE
423,2011,ICE
424,2011,ICE
425,2012,ICE
426,2012,ICE
427,2012,ICE
428,2012,ICE
429,2012,ICE
430,2012,ICE
431,2012,ICE
432,2012,ICE
433,2012,ICE
434,2012,ICE
435,2012,ICE
436,2012,ICE
437,2012,ICE
438,2012,ICE
439,2012,ICE
440,2012,ICE
441,2012,ICE
442,2012,ICE
443,2012,ICE
444,2012,ICE
445,2013,ICE
446,2013,ICE
447,2013,ICE
448,2013,ICE
449,2013,ICE
450,2013,ICE
451,2013,ICE
452,2013,ICE
453,2013,ICE
454,2013,ICE
455,2013,ICE
456,2013,ICE
457,2013,ICE
458,2013,ICE
459,2013,ICE
460,2013,ICE
461,2013,ICE
462,2013,ICE
463,2013,ICE
464,2013,ICE
465,2015,ICE
466,2015,ICE
467,2015,ICE
468,2015,ICE
469,2015,ICE
470,2015,ICE
471,2015,ICE
472,2015,ICE
473,2015,ICE
474,2015,ICE
475,2015,ICE
476,2015,ICE
477,2015,ICE
478,2015,ICE
479,2015,ICE
480,2015,ICE
481,2015,ICE
483,2015,ICE
484,2015,ICE
485,2016,ICE
486,2016,ICE
487,2016,ICE
488,2016,ICE
489,2016,ICE
490,2016,ICE
491,2016,ICE
492,2016,ICE
493,2016,ICE
494,2016,ICE
495,2016,ICE
496,2016,ICE
497,2016,ICE
498,2016,ICE
499,2016,ICE
500,2016,ICE
501,2016,ICE
502,2016,ICE
503,2016,ICE
504,2016,ICE
505,2017,ICE
506,2017,ICE
507,2017,ICE
508,2017,ICE
509,2017,ICE
510,2017,ICE
511,2017,ICE
512,2017,ICE
513,2017,ICE
514,2017,ICE
515,2017,ICE
516,2017,ICE
517,2017,ICE
518,2017,ICE
519,2017,ICE
520,2017,ICE
521,2017,ICE
522,2017,ICE
523,2017,ICE
524,2017,ICE
525,2018,ICE
526,2018,ICE
527,2018,ICE
528,2018,ICE
529,2018,ICE
530,2018,ICE
531,2018,ICE
532,2018,ICE
533,2018,ICE
534,2018,ICE
535,2018,ICE
536,2018,ICE
537,2018,ICE
538,2018,ICE
539,2018,ICE
540,2018,ICE
541,2018,ICE
542,2018,ICE
