,mileage,make,model,fuel,gear,offerType,price,hp,year,carType
27465,3000,smart,forTwo,Electric,Automatic,Demonstration,17480,82.0,2021,EV
27466,3000,smart,forTwo,Electric,Automatic,Demonstration,17480,82.0,2021,EV
27467,3000,smart,forTwo,Electric,Automatic,Demonstration,17480,82.0,2021,EV
27471,3000,smart,forTwo,Electric,Automatic,Demonstration,19890,56.0,2021,EV
27543,30694,Renault,Twizy,Electric,Automatic,Used,4190,11.0,2014,EV
27663,8779,SEAT,Mii,Electric,Automatic,Demonstration,17950,83.0,2020,EV
27685,2500,Opel,Corsa,Electric,Automatic,Used,25650,136.0,2021,EV
27686,15,Opel,Corsa,Electric,Automatic,Used,25990,136.0,2021,EV
27690,6000,Opel,Mokka,Electric,Automatic,Used,26550,136.0,2021,EV
27894,6000,Opel,Ampera,Electric,Automatic,Used,26950,204.0,2020,EV
27915,15,Nissan,Leaf,Electric,Automatic,Pre-registered,28490,218.0,2021,EV
27948,39923,Nissan,Leaf,Electric,Automatic,Used,7350,109.0,2013,EV
27998,49000,Renault,ZOE,Electric,Automatic,Used,7250,92.0,2016,EV
28004,52908,Renault,ZOE,Electric,Automatic,Used,7380,92.0,2016,EV
28053,13450,BMW,i3,Electric,Automatic,Used,24900,184.0,2019,EV
28058,632,Mercedes-Benz,Vito,Electric,Automatic,Used,31450,116.0,2019,EV
28090,9500,Volkswagen,ID.3,Electric,Automatic,Used,35990,204.0,2020,EV
28173,135000,Renault,ZOE,Electric,Automatic,Used,4880,58.0,2015,EV
28206,64002,Renault,ZOE,Electric,Automatic,Used,7770,88.0,2016,EV
28388,71100,Renault,ZOE,Electric,Automatic,Used,6975,88.0,2014,EV
28733,6500,Skoda,Enyaq,Electric,Automatic,Used,48900,204.0,2021,EV
28734,4800,Skoda,Enyaq,Electric,Automatic,Used,48999,204.0,2021,EV
28735,2850,Skoda,Enyaq,Electric,Automatic,Used,49222,204.0,2021,EV
28745,3000,Mercedes-Benz,EQC 400,Electric,Automatic,Demonstration,75880,408.0,2021,EV
29031,37652,Renault,ZOE,Electric,Automatic,Used,7495,92.0,2014,EV
29067,29700,Renault,ZOE,Electric,Automatic,Used,7495,92.0,2016,EV
29068,30650,Renault,ZOE,Electric,Automatic,Used,7495,92.0,2016,EV
29145,7000,Volkswagen,ID.3,Electric,Automatic,Employee's car,35980,204.0,2020,EV
29169,10,Nissan,Leaf,Electric,Automatic,Pre-registered,28989,218.0,2021,EV
29235,84000,Renault,ZOE,Electric,Automatic,Used,4500,58.0,2013,EV
29423,64200,Renault,ZOE,Electric,Automatic,Used,4400,88.0,2013,EV
29579,1500,Nissan,E-NV200,Electric,Automatic,Demonstration,29190,109.0,2021,EV
29591,3000,Opel,Mokka,Electric,Automatic,Used,31950,136.0,2021,EV
29592,1000,Opel,Mokka,Electric,Automatic,Used,31950,136.0,2021,EV
29666,21936,smart,forTwo,Electric,Automatic,Used,8790,48.0,2014,EV
29917,60254,Nissan,Leaf,Electric,Automatic,Used,11500,109.0,2016,EV
29993,1500,Nissan,Leaf,Electric,Automatic,Used,27990,218.0,2020,EV
30016,20,Toyota,Proace,Electric,Automatic,Pre-registered,57990,136.0,2021,EV
30093,59384,Renault,ZOE,Electric,Automatic,Used,6990,58.0,2014,EV
30123,52457,Renault,ZOE,Electric,Automatic,Used,7975,92.0,2015,EV
30242,150,Hyundai,Kona,Electric,Automatic,Demonstration,38490,204.0,2021,EV
30317,80000,Renault,ZOE,Electric,Automatic,Used,6088,88.0,2014,EV
30426,20109,Volkswagen,Golf,Electric,Automatic,Used,24850,136.0,2020,EV
30553,54000,Nissan,Leaf,Electric,Automatic,Used,8999,109.0,2015,EV
30574,78000,Citroen,C-Zero,Electric,Automatic,Used,8490,67.0,2016,EV
30665,3000,Audi,e-tron,Electric,Automatic,Demonstration,119000,476.0,2021,EV
30670,3500,Audi,e-tron,Electric,Automatic,Demonstration,154900,598.0,2021,EV
30755,70016,Mitsubishi,I-MiEV,Electric,Automatic,Used,7990,48.0,2014,EV
30820,17593,Renault,ZOE,Electric,Automatic,Used,7495,92.0,2017,EV
30865,7000,Volkswagen,ID.3,Electric,Automatic,Employee's car,39950,204.0,2020,EV
30986,75800,Tesla,Model S,Electric,Automatic,Used,46960,428.0,2016,EV
30987,67640,Tesla,Model S,Electric,Automatic,Used,47957,428.0,2016,EV
31085,3000,Opel,Mokka,Electric,Automatic,Used,31950,136.0,2021,EV
31094,2000,Opel,Mokka,Electric,Automatic,Used,32790,136.0,2021,EV
31095,5,Opel,Mokka,Electric,Automatic,Demonstration,32940,136.0,2021,EV
31275,50,Opel,Ampera,Electric,Automatic,Demonstration,29790,204.0,2020,EV
31291,9229,Volkswagen,ID.3,Electric,Automatic,Used,31923,204.0,2020,EV
31368,64479,Volkswagen,up!,Electric,Automatic,Used,8650,82.0,2013,EV
31386,59300,Volkswagen,up!,Electric,Automatic,Used,9160,82.0,2014,EV
31428,30400,Renault,ZOE,Electric,Automatic,Used,7999,88.0,2016,EV
31531,10,Renault,ZOE,Electric,Automatic,Used,14990,109.0,2021,EV
31649,50000,Renault,Twizy,Electric,Automatic,Used,3250,12.0,2016,EV
31931,100,Hyundai,Ioniq,Electric,Automatic,Demonstration,47990,218.0,2021,EV
32030,64185,Renault,ZOE,Electric,Automatic,Used,6688,88.0,2015,EV
32144,1260,Nissan,Leaf,Electric,Automatic,Demonstration,27900,150.0,2020,EV
32159,4000,Kia,Soul,Electric,Automatic,Demonstration,37935,204.0,2021,EV
32230,53500,Volkswagen,up!,Electric,Automatic,Used,8790,82.0,2014,EV
32244,23100,Nissan,Leaf,Electric,Automatic,Used,8980,109.0,2014,EV
32529,22900,smart,forFour,Electric,Automatic,Used,9840,56.0,2018,EV
32575,63000,Audi,e-tron,Electric,Automatic,Used,61880,360.0,2020,EV
32702,23500,Renault,ZOE,Electric,Automatic,Used,9999,58.0,2016,EV
32765,3412,Hyundai,Kona,Electric,Automatic,Used,25990,135.0,2019,EV
32795,900,Opel,Mokka,Electric,Automatic,Used,33540,136.0,2021,EV
32805,0,Hyundai,Ioniq,Electric,Automatic,Used,35790,136.0,2021,EV
32808,6,Hyundai,Kona,Electric,Automatic,Used,35990,136.0,2021,EV
32835,53923,Renault,Twizy,Electric,Automatic,Used,4260,11.0,2012,EV
32931,52427,Nissan,Leaf,Electric,Automatic,Used,12990,109.0,2017,EV
32933,33132,Nissan,Leaf,Electric,Automatic,Used,13490,109.0,2017,EV
32991,1500,DS,Automobiles DS 3 Crossback,Electric,Automatic,Demonstration,32190,136.0,2020,EV
33017,9999,Volkswagen,ID.4,Electric,Automatic,Demonstration,45555,204.0,2021,EV
33022,1000,Opel,Zafira Life,Electric,Automatic,Used,47650,136.0,2021,EV
33147,26056,Renault,ZOE,Electric,Automatic,Used,8580,92.0,2016,EV
33191,13245,Renault,ZOE,Electric,Automatic,Used,10780,88.0,2019,EV
33205,18425,smart,forTwo,Electric,Automatic,Used,10990,82.0,2019,EV
33235,10,Renault,ZOE,Electric,Automatic,Used,15900,109.0,2021,EV
33406,600,Hyundai,Ioniq,Electric,Manual,Pre-registered,33763,120.0,2020,EV
33728,46500,smart,forTwo,Electric,Automatic,Used,6990,48.0,2014,EV
33844,1000,Renault,ZOE,Electric,Automatic,Demonstration,29490,69.0,2020,EV
33925,18350,Fiat,Fiorino,Electric,Manual,Used,6770,41.0,2011,EV
34851,93968,Mitsubishi,I-MiEV,Electric,Automatic,Used,4990,48.0,2011,EV
35532,59000,Citroen,C-Zero,Electric,Automatic,Used,6990,48.0,2012,EV
35642,990,Renault,Twizy,Electric,Automatic,Used,4690,11.0,2012,EV
35879,58124,Nissan,Leaf,Electric,Automatic,Used,8490,109.0,2012,EV
35921,3397,Renault,Twizy,Electric,Automatic,Used,4800,11.0,2012,EV
36009,62000,smart,forTwo,Electric,Automatic,Used,6590,48.0,2012,EV
36497,34590,Nissan,Leaf,Electric,Automatic,Used,9890,109.0,2013,EV
36785,66000,Renault,ZOE,Electric,Automatic,Used,3300,88.0,2013,EV
36786,69610,Renault,ZOE,Electric,Automatic,Used,5490,58.0,2013,EV
36787,91700,Renault,ZOE,Electric,Automatic,Used,5750,88.0,2013,EV
37034,117000,Renault,ZOE,Electric,Automatic,Used,5650,88.0,2013,EV
37130,63000,smart,forTwo,Electric,Automatic,Used,6590,75.0,2013,EV
37152,83000,smart,forTwo,Electric,Automatic,Used,6450,75.0,2013,EV
37156,27000,smart,forTwo,Electric,Automatic,Used,6490,48.0,2013,EV
37166,47757,Renault,ZOE,Electric,Automatic,Used,6990,92.0,2013,EV
37380,80000,Renault,ZOE,Electric,Automatic,Used,6088,88.0,2014,EV
37549,29798,Renault,ZOE,Electric,Automatic,Used,6999,58.0,2014,EV
37582,33900,smart,forTwo,Electric,Automatic,Used,9599,48.0,2014,EV
37859,1200,Aixam,City,Electric,Automatic,Used,8500,5.0,2014,EV
37890,102700,Renault,ZOE,Electric,Automatic,Used,5280,88.0,2014,EV
37922,16300,Volkswagen,up!,Electric,Automatic,Used,10925,82.0,2014,EV
37972,15200,smart,forTwo,Electric,Automatic,Used,8790,48.0,2014,EV
38022,39600,Volkswagen,Golf,Electric,Automatic,Used,15479,116.0,2014,EV
38031,44000,BMW,i3,Electric,Automatic,Used,16999,102.0,2014,EV
38035,94500,Tesla,Model S,Electric,Automatic,Used,55990,700.0,2014,EV
38065,69900,Renault,ZOE,Electric,Automatic,Used,4990,58.0,2014,EV
38068,33969,BMW,i3,Electric,Automatic,Used,17900,170.0,2014,EV
