,mileage,make,model,fuel,gear,offerType,price,hp,year,carType
44910,999,Renault,ZOE,Electric,Automatic,Demonstration,22570,136.0,2020,EV
44915,999,Renault,ZOE,Electric,Automatic,Demonstration,23470,136.0,2020,EV
44916,999,Renault,ZOE,Electric,Automatic,Demonstration,23470,136.0,2020,EV
44920,3250,Mazda,MX-30,Electric,Automatic,Used,23890,110.0,2020,EV
44924,7,Mazda,MX-30,Electric,Automatic,Used,23990,110.0,2020,EV
44946,3000,smart,forFour,Electric,Automatic,Demonstration,17390,82.0,2020,EV
44976,999,Renault,ZOE,Electric,Automatic,Demonstration,24970,136.0,2020,EV
45028,2500,Renault,ZOE,Electric,Automatic,Demonstration,26250,136.0,2020,EV
45033,7500,Renault,ZOE,Electric,Automatic,Demonstration,26710,136.0,2020,EV
45040,999,Renault,ZOE,Electric,Automatic,Demonstration,27410,136.0,2020,EV
45041,7500,Renault,ZOE,Electric,Automatic,Demonstration,27410,136.0,2020,EV
45042,999,Renault,ZOE,Electric,Automatic,Demonstration,27410,150.0,2020,EV
45046,999,Renault,ZOE,Electric,Automatic,Demonstration,27490,69.0,2020,EV
45054,1001,Renault,ZOE,Electric,Automatic,Demonstration,21980,135.0,2020,EV
45093,2908,smart,forFour,Electric,Automatic,Employee's car,18800,82.0,2020,EV
45152,3509,smart,forTwo,Electric,Automatic,Employee's car,19980,82.0,2020,EV
45251,2000,Mazda,MX-30,Electric,Automatic,Demonstration,24980,145.0,2021,EV
45260,50,Nissan,Leaf,Electric,Automatic,Demonstration,29197,218.0,2021,EV
45278,5,Hyundai,Kona Elektro,Electric,Automatic,Demonstration,35290,204.0,2021,EV
45279,10,Citroen,C4,Electric,Automatic,Used,35450,136.0,2021,EV
45303,500,Opel,Mokka-E,Electric,Automatic,Demonstration,33490,77.0,2021,EV
45316,9900,Porsche,Taycan,Electric,Automatic,Demonstration,117900,381.0,2021,EV
45330,9000,Skoda,Enyaq,Electric,Automatic,Demonstration,36790,179.0,2021,EV
45447,10,Citroen,Spacetourer,Electric,Automatic,Used,43440,136.0,2021,EV
45455,1999,Peugeot,Traveller,Electric,Automatic,Used,44890,136.0,2021,EV
45562,10,Citroen,Spacetourer,Electric,Automatic,Used,55440,136.0,2021,EV
45621,6000,Volvo,XC40,Electric,Automatic,Demonstration,69285,408.0,2021,EV
45676,3000,Mercedes-Benz,EQV 300,Electric,Automatic,Demonstration,83870,204.0,2021,EV
45684,3000,Porsche,Taycan,Electric,Automatic,Demonstration,100990,381.0,2021,EV
45685,6010,Porsche,Taycan,Electric,Automatic,Demonstration,107800,381.0,2021,EV
45687,3000,Porsche,Taycan,Electric,Automatic,Demonstration,108990,381.0,2021,EV
45689,6010,Porsche,Taycan,Electric,Automatic,Demonstration,114800,381.0,2021,EV
45692,6010,Porsche,Taycan,Electric,Automatic,Demonstration,116800,381.0,2021,EV
45704,1000,Renault,Twingo,Electric,Automatic,Demonstration,16990,82.0,2021,EV
45738,3500,Porsche,Taycan,Electric,Automatic,Demonstration,134500,489.0,2021,EV
45742,3000,Porsche,Taycan,Electric,Automatic,Demonstration,137990,489.0,2021,EV
45743,9900,Porsche,Taycan,Electric,Automatic,Demonstration,141990,489.0,2021,EV
45744,6010,Porsche,Taycan,Electric,Automatic,Demonstration,147900,625.0,2021,EV
45746,1990,Porsche,Taycan,Electric,Automatic,Demonstration,175990,625.0,2021,EV
45929,2250,BMW,i3,Electric,Automatic,Demonstration,43090,102.0,2021,EV
46019,99,Renault,ZOE,Electric,Automatic,Pre-registered,21780,136.0,2021,EV
46028,3,Peugeot,208,Electric,Automatic,Demonstration,23680,136.0,2021,EV
46050,10,Opel,Corsa,Electric,Automatic,Used,22850,136.0,2021,EV
46055,1001,Renault,ZOE,Electric,Automatic,Demonstration,25637,107.0,2021,EV
46093,5,Hyundai,Kona Elektro,Electric,Automatic,Pre-registered,23590,136.0,2021,EV
46103,5,Hyundai,Kona Elektro,Electric,Automatic,Employee's car,23990,136.0,2021,EV
46104,5,Hyundai,Kona,Electric,Automatic,Demonstration,23990,136.0,2021,EV
46105,5,Hyundai,Kona,Electric,Automatic,Demonstration,23990,136.0,2021,EV
46127,35,Kia,e-Niro,Electric,Automatic,Pre-registered,37480,204.0,2021,EV
46139,100,Renault,ZOE,Electric,Automatic,Pre-registered,28800,69.0,2021,EV
46242,1000,Polestar,2,Electric,Automatic,Used,59980,408.0,2021,EV
46244,4000,Polestar,2,Electric,Automatic,Used,67350,408.0,2021,EV
46262,300,Citroen,C4,Electric,Automatic,Demonstration,28540,136.0,2021,EV
46263,5,Hyundai,Ioniq,Electric,Automatic,Demonstration,28690,136.0,2021,EV
46266,10,Opel,Corsa,Electric,Automatic,Used,28850,136.0,2021,EV
46269,9900,Porsche,Taycan,Electric,Automatic,Demonstration,109500,476.0,2021,EV
46270,12900,Porsche,Taycan,Electric,Automatic,Used,109900,476.0,2021,EV
46271,9900,Porsche,Taycan,Electric,Automatic,Demonstration,109900,476.0,2021,EV
46272,9999,Audi,e-tron,Electric,Automatic,Used,109937,476.0,2021,EV
46273,9900,Porsche,Taycan,Electric,Automatic,Demonstration,129500,571.0,2021,EV
46274,12900,Porsche,Taycan,Electric,Automatic,Used,129900,571.0,2021,EV
46312,10,Opel,Corsa,Electric,Automatic,Used,29440,136.0,2021,EV
46313,2000,Hyundai,Ioniq,Electric,Manual,Demonstration,29490,136.0,2021,EV
